No.,País,Jogos,Ouro,Prata,Bronze,Total,NOC
132,Sudão,13,0,1,0,1,SUD
132,Turcomenistão,7,0,1,0,1,TKM
132,Ilhas Virgens Americanas,13,0,1,0,1,ISV
132,Tonga,10,0,1,0,1,TGA
132,Ilhas Virgens Americanas,13,0,1,0,1,ISV
147,Barbados,13,0,0,1,1,BAR
147,Burquina Fasso,10,0,0,1,1,BUR
147,Djibuti,9,0,0,1,1,DJI
147,Eritreia,6,0,0,1,1,ERI
147,Guiana,18,0,0,1,1,GUY
147,Iraque,15,0,0,1,1,IRQ
147,Maurício,10,0,0,1,1,MRI
147,Togo,11,0,0,1,1,TOG
