Ordem,País,Ouro,Prata,Bronze,Total
1,Estados Unidos,50,41,32,123
2,Reino Unido,18,23,20,61
3,Itália,14,15,16,45
4,Austrália,12,11,7,30
5,Rodésia,10,5,2,17
6,África do Sul,8,8,3,19
7,Israel,7,3,11,21
8,Argentina,6,15,16,37
9,Alemanha Ocidental,5,2,5,12
10,Países Baixos,4,6,4,14
11,França,4,2,5,11
12,Áustria,4,1,7,12
13,Japão,1,5,4,10
14,Bélgica,1,0,2,3
15,Suíça,0,1,0,1
16,Malta,0,0,2,2
17,Suécia,0,0,1,1
