Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,United States of America,USA,50,41,32,123
2,Great Britain,GBR,18,23,20,61
3,Italy,ITA,14,15,16,45
4,Australia,AUS,12,11,7,30
5,Rhodesia,RHO,10,5,2,17
6,South Africa,RSA,8,8,3,19
7,Israel,ISR,7,3,11,21
8,Argentina,ARG,6,15,16,37
9,Germany,GER,5,2,5,12
10,Netherlands,NED,4,6,4,14
11,France,FRA,4,2,5,11
12,Austria,AUT,4,1,7,12
13,Japan,JPN,1,5,4,10
14,Belgium,BEL,1,0,2,3
15,Switzerland,SUI,0,1,0,1
16,Malta,MLT,0,0,2,2
17,Sweden,SWE,0,0,1,1
