Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,Italy,ITA,29,28,23,80
2,Great Britain,GBR,20,15,20,55
3,Germany,GER,15,6,9,30
4,Austria,AUT,11,8,11,30
5,United States of America,USA,11,7,7,25
6,Norway,NOR,9,3,4,16
7,Australia,AUS,3,6,1,10
8,Netherlands,NED,3,6,0,9
9,France,FRA,3,3,1,7
10,Argentina,ARG,2,3,1,6
11,Rhodesia,RHO,2,1,2,5
12,Ireland,IRL,2,0,0,2
13,Switzerland,SUI,1,3,0,4
14,Belgium,BEL,1,1,1,3
15,Finland,FIN,1,0,0,1
16,Israel,ISR,0,2,2,4
16,Malta,MLT,0,2,2,4
